# name, allowedP, trueP, n, [sentinel], time
hpce.direct_fourier_transform, 8, 8, 16, 4.9362, 3.56318e-005
hpce.direct_fourier_transform, 8, 8, 19, 1.90936, 4.03048e-005
hpce.direct_fourier_transform, 8, 8, 22, 3.30978, 5.22794e-005
hpce.direct_fourier_transform, 8, 8, 26, 2.05117, 7.41842e-005
hpce.direct_fourier_transform, 8, 8, 32, 2.81322, 0.000110692
hpce.direct_fourier_transform, 8, 8, 38, 7.30988, 0.000157422
hpce.direct_fourier_transform, 8, 8, 45, 4.15291, 0.000221384
hpce.direct_fourier_transform, 8, 8, 53, 7.86272, 0.000323023
hpce.direct_fourier_transform, 8, 8, 64, 14.1985, 0.000565143
hpce.direct_fourier_transform, 8, 8, 76, 1.9669, 0.000734248
hpce.direct_fourier_transform, 8, 8, 90, 10.4565, 0.000874147
hpce.direct_fourier_transform, 8, 8, 107, 5.99665, 0.00125003
hpce.direct_fourier_transform, 8, 8, 128, 5.53084, 0.00177429
hpce.direct_fourier_transform, 8, 8, 152, 9.49119, 0.0025097
hpce.direct_fourier_transform, 8, 8, 181, 11.4613, 0.00361429
hpce.direct_fourier_transform, 8, 8, 215, 10.0363, 0.00506818
hpce.direct_fourier_transform, 8, 8, 256, 4.86155, 0.00741608
hpce.direct_fourier_transform, 8, 8, 304, 26.5967, 0.010068
hpce.direct_fourier_transform, 8, 8, 362, 5.9164, 0.0144469
hpce.direct_fourier_transform, 8, 8, 430, 24.2105, 0.0202681
hpce.direct_fourier_transform, 8, 8, 512, 10.1029, 0.0287029
hpce.direct_fourier_transform, 8, 8, 608, 21.7493, 0.040532
hpce.direct_fourier_transform, 8, 8, 724, 10.1883, 0.0576215
hpce.direct_fourier_transform, 8, 8, 861, 16.774, 0.0817641
hpce.direct_fourier_transform, 8, 8, 1024, 19.7117, 0.115704
hpce.direct_fourier_transform, 8, 8, 1217, 47.6543, 0.163932
hpce.direct_fourier_transform, 8, 8, 1448, 31.9429, 0.232334
hpce.direct_fourier_transform, 8, 8, 1722, 27.495, 0.32923
hpce.direct_fourier_transform, 8, 8, 2048, 14.2226, 0.466782
hpce.direct_fourier_transform, 8, 8, 2435, 41.0111, 0.661987
hpce.direct_fourier_transform, 8, 8, 2896, 55.9844, 0.941815
hpce.direct_fourier_transform, 8, 8, 3444, 42.7607, 1.3291
hpce.direct_fourier_transform, 8, 8, 4096, 27.2928, 1.88763
hpce.direct_fourier_transform, 8, 8, 4870, 31.5261, 2.6813
hpce.direct_fourier_transform, 8, 8, 5792, 67.0575, 3.80121
hpce.direct_fourier_transform, 8, 8, 6888, 42.8288, 5.3886
hpce.direct_fourier_transform, 8, 8, 8192, 74.8637, 7.65584
hpce.direct_fourier_transform, 8, 8, 9741, 65.5553, 10.8695
hpce.direct_fourier_transform, 8, 8, 11585, 25.3091, 15.433
hpce.direct_fourier_transform, 8, 8, 13777, 141.926, 21.9029
hpce.direct_fourier_transform, 8, 8, 16384, 77.7499, 31.0753
hpce.direct_fourier_transform, 8, 8, 19483, 176.268, 44.0858
hpce.direct_fourier_transform, 8, 8, 23170, 215.78, 62.499
hpce.direct_fourier_transform, 8, 8, 27554, 229.236, 88.618
hpce.direct_fourier_transform, 8, 8, 32768, 146.986, 125.613
