# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 16, 4.9362, 0.000544699
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 19, 1.90936, 4.5854e-005
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 22, 3.30978, 5.9581e-005
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 26, 2.05117, 7.91493e-005
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 32, 2.81322, 0.000115657
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 38, 7.30988, 0.000122959
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 45, 4.15291, 7.73969e-005
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 53, 7.86272, 9.66731e-005
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 64, 14.1985, 0.000118578
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 76, 1.9669, 0.000139899
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 90, 10.4565, 0.000189841
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 107, 5.99665, 0.000262565
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 128, 5.53084, 0.000373842
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 152, 9.49119, 0.000523378
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 181, 11.4613, 0.000705334
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 215, 10.0363, 0.00109758
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 256, 4.86155, 0.00181109
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 304, 26.5967, 0.00199713
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 362, 5.9164, 0.00291012
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 430, 24.2105, 0.00398024
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 512, 10.1029, 0.00520399
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 608, 21.7493, 0.00720755
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 724, 10.1883, 0.0105613
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 861, 16.774, 0.0141517
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 1024, 19.7117, 0.0213043
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 1217, 47.6543, 0.0301024
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 1448, 31.9429, 0.0402192
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 1722, 27.495, 0.0563595
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 2048, 14.2226, 0.0807895
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 2435, 41.0111, 0.113015
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 2896, 55.9844, 0.160156
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 3444, 42.7607, 0.228229
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 4096, 27.2928, 0.322692
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 4870, 31.5261, 0.458215
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 5792, 67.0575, 0.64833
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 6888, 42.8288, 0.917334
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 8192, 74.8637, 1.30219
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 9741, 65.5553, 1.84728
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 11585, 25.3091, 2.61692
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 13777, 141.926, 3.97308
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 16384, 77.7499, 5.55084
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 19483, 176.268, 7.45883
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 23170, 215.78, 10.5869
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 27554, 229.236, 14.9918
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 32768, 146.986, 21.2667
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 38967, 51.269, 30.1409
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 46340, 141.597, 42.6613
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 55108, 16.8352, 60.409
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 65536, 170.593, 85.7035
hpce.hgp10.direct_fourier_transform_parfor, 8, 8, 77935, 250.599, 121.481
