# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 16, 4.9362, 0.000639327
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 19, 1.60788, 1.81079e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 22, 1.26258, 1.66476e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 26, 1.50946, 2.10286e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 32, 2.81322, 1.89841e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 38, 6.35188, 2.7746e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 45, 1.44911, 2.07365e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 53, 2.82396, 2.68698e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 64, 14.1985, 2.68698e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 76, 2.76634, 4.43937e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 90, 5.12565, 4.49778e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 107, 3.92396, 7.00953e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 128, 5.53084, 3.97206e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 152, 12.1969, 6.54222e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 181, 8.17628, 5.14032e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 215, 4.90209, 5.9873e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 256, 4.86155, 5.89968e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 304, 22.9792, 8.64508e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 362, 8.57854, 7.71048e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 430, 5.41048, 9.43365e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 512, 10.1029, 8.32381e-005
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 608, 7.11922, 0.000150413
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 724, 6.24536, 0.000181664
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 861, 8.73357, 0.00017407
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 1024, 19.7117, 0.000209702
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 1217, 43.0634, 0.000342883
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 1448, 11.5829, 0.000357486
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 1722, 8.63163, 0.000453283
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 2048, 14.2226, 0.000398375
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 2435, 24.0055, 0.000635822
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 2896, 16.0411, 0.000568356
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 3444, 7.1588, 0.000694819
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 4096, 27.2928, 0.000663568
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 4870, 15.8423, 0.00118636
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 5792, 26.4934, 0.00111744
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 6888, 6.60282, 0.00133619
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 8192, 74.8637, 0.00131458
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 9741, 18.829, 0.00228072
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 11585, 10.946, 0.00217675
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 13777, 18.2303, 0.00260871
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 16384, 77.7499, 0.00233622
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 19483, 96.585, 0.00333741
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 23170, 87.4254, 0.00309354
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 27554, 18.3728, 0.00374893
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 32768, 146.986, 0.00406669
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 38967, 60.6413, 0.00733722
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 46340, 60.399, 0.00734715
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 55108, 18.6936, 0.00867224
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 65536, 170.593, 0.0085487
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 77935, 73.2701, 0.0135678
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 92681, 25.4243, 0.0136353
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 110217, 19.8043, 0.0170329
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 131072, 102.951, 0.0166412
hpce.hgp10.fast_fourier_transform_combined, 8, 8, 155871, 287.35, 0.0288848
