# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 16, 4.9362, 0.000760242
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 19, 1.60788, 7.59365e-006
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 22, 2.40711, 6.13334e-006
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 26, 1.26226, 7.00953e-006
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 32, 2.81322, 4.38095e-006
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 38, 6.15568, 8.46984e-006
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 45, 2.95318, 1.08064e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 53, 4.7473, 2.24889e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 64, 14.1985, 1.31429e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 76, 1.65633, 1.75238e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 90, 7.4357, 1.86921e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 107, 3.58678, 2.54095e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 128, 5.53084, 2.16127e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 152, 7.99258, 3.50476e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 181, 8.10526, 4.20572e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 215, 5.97507, 6.36699e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 256, 4.86155, 4.6146e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 304, 22.3973, 4.67302e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 362, 4.18397, 5.31556e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 430, 14.4137, 5.4908e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 512, 10.1029, 5.16953e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 608, 18.3152, 7.53524e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 724, 7.20496, 0.000108648
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 861, 9.97479, 0.000125295
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 1024, 19.7117, 9.31683e-005
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 1217, 40.097, 0.000174946
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 1448, 22.5895, 0.000197143
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 1722, 16.3501, 0.000252343
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 2048, 14.2226, 0.000186045
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 2435, 32.7976, 0.000352813
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 2896, 36.4473, 0.000392826
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 3444, 26.4221, 0.000590553
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 4096, 27.2928, 0.000390197
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 4870, 16.4006, 0.000632318
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 5792, 39.2006, 0.000705626
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 6888, 13.3494, 0.000750603
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 8192, 74.8637, 0.000576534
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 9741, 44.2077, 0.0009384
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 11585, 12.227, 0.00101667
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 13777, 70.0519, 0.00116183
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 16384, 77.7499, 0.00106924
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 19483, 104.127, 0.00179269
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 23170, 100.39, 0.00225648
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 27554, 121.87, 0.00287537
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 32768, 146.986, 0.00166768
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 38967, 68.7784, 0.00312946
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 46340, 122.928, 0.00391394
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 55108, 45.5843, 0.00482547
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 65536, 170.593, 0.00380208
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 77935, 169.013, 0.00724435
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 92681, 131.339, 0.00840588
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 110217, 144.82, 0.00942489
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 131072, 102.951, 0.00700953
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 155871, 253.308, 0.0149522
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 185363, 165.641, 0.0177686
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 220435, 84.6802, 0.02149
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 262144, 155.101, 0.0179312
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 311743, 186.821, 0.0333128
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 370727, 201.027, 0.0356198
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 440871, 68.2592, 0.040171
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 524288, 159.571, 0.0325587
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 623487, 495.579, 0.0620153
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 741455, 209.195, 0.0714011
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 881743, 298.043, 0.0844592
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 1048576, 837.071, 0.0699799
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 1246974, 727.028, 0.132544
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 1482910, 482.876, 0.151334
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 1763487, 502.329, 0.181671
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 2097152, 753.578, 0.150099
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 2493948, 657.724, 0.280514
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 2965820, 345.657, 0.326112
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 3526975, 1282.67, 0.385487
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 4194304, 2519.66, 0.315003
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 4987896, 937.044, 0.581618
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 5931641, 786.439, 0.792964
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 7053950, 1616.53, 0.781652
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 8388608, 1248.03, 0.664496
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 9975792, 2068.39, 1.19327
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 11863283, 2438.99, 1.34096
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 14107900, 2016.2, 1.61598
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 16777216, 2285.4, 1.43728
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 19951584, 1935.24, 2.52515
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 23726566, 1926.76, 2.80796
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 28215801, 1520.64, 3.34774
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 33554432, 4658.76, 2.8516
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 39903169, 1879.04, 5.28394
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 47453132, 1508.42, 5.89164
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 56431603, 1462.29, 7.03926
hpce.hgp10.fast_fourier_transform_opt, 8, 8, 67108864, 10121.9, 6.25552
