# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 16, 4.9362, 1.16825e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 19, 1.60788, 6.71746e-006
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 22, 1.26258, 5.84127e-006
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 26, 1.50946, 7.00953e-006
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 32, 2.81322, 6.71746e-006
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 38, 6.35188, 1.16825e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 45, 1.44911, 1.08064e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 53, 2.82396, 1.40191e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 64, 14.1985, 1.40191e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 76, 2.76634, 2.36572e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 90, 5.12565, 2.21968e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 107, 3.92396, 2.7454e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 128, 5.53084, 2.89143e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 152, 12.1969, 4.84826e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 181, 8.17628, 4.5854e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 215, 4.90209, 5.63683e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 256, 4.86155, 5.87048e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 304, 22.9792, 9.78413e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 362, 8.57854, 9.52127e-005
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 430, 5.41048, 0.000117117
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 512, 10.1029, 0.000122083
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 608, 7.11922, 0.000198895
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 724, 6.24536, 0.000195683
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 861, 8.73357, 0.00024767
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 1024, 19.7117, 0.000263441
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 1217, 43.0634, 0.000424953
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 1448, 11.5829, 0.000420572
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 1722, 8.63163, 0.000513156
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 2048, 14.2226, 0.000547619
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 2435, 24.0055, 0.00149098
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 2896, 16.0411, 0.000940153
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 3444, 7.1588, 0.00112444
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 4096, 27.2928, 0.00118549
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 4870, 15.8423, 0.00182306
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 5792, 26.4934, 0.00196676
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 6888, 6.60282, 0.00250591
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 8192, 74.8637, 0.00232891
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 9741, 18.829, 0.00367445
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 11585, 10.946, 0.00402347
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 13777, 18.2303, 0.00442593
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 16384, 77.7499, 0.00476064
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 19483, 96.585, 0.00744412
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 23170, 87.4254, 0.00744762
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 27554, 18.3728, 0.0088396
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 32768, 146.986, 0.00950083
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 38967, 60.6413, 0.0154954
hpce.hgp10.fast_fourier_transform_parfor, 8, 8, 46340, 60.399, 0.0163661
