# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 16, 4.9362, 0.000612457
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 19, 1.60788, 1.31429e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 22, 2.40711, 9.34603e-006
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 26, 1.26226, 1.16825e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 32, 2.81322, 1.25587e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 38, 6.15568, 1.92762e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 45, 2.95318, 1.69397e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 53, 4.7473, 1.54794e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 64, 14.1985, 1.51873e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 76, 1.65633, 3.00825e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 90, 7.4357, 2.65778e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 107, 3.58678, 4.08889e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 128, 5.53084, 3.68e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 152, 7.99258, 8.09016e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 181, 8.10526, 5.69524e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 215, 5.97507, 5.84127e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 256, 4.86155, 3.85524e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 304, 22.3973, 6.98032e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 362, 4.18397, 5.9581e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 430, 14.4137, 6.68826e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 512, 10.1029, 6.95111e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 608, 18.3152, 0.000112737
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 724, 7.20496, 0.000120914
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 861, 9.97479, 0.000128508
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 1024, 19.7117, 0.000115365
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 1217, 40.097, 0.000218171
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 1448, 22.5895, 0.000217879
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 1722, 16.3501, 0.000277168
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 2048, 14.2226, 0.000245333
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 2435, 34.4931, 0.000370629
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 2896, 39.5912, 0.000368876
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 3444, 25.428, 0.0004784
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 4096, 27.2928, 0.000458248
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 4870, 26.5156, 0.000765207
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 5792, 47.4219, 0.000969943
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 6888, 25.4685, 0.00108589
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 8192, 74.8637, 0.000848737
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 9741, 55.1308, 0.00135284
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 11585, 17.8966, 0.00152778
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 13777, 84.3912, 0.00176523
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 16384, 77.7499, 0.00175647
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 19483, 148.231, 0.00282017
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 23170, 152.583, 0.00263558
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 27554, 136.307, 0.00302665
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 32768, 146.986, 0.00288004
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 38967, 43.113, 0.00565552
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 46340, 100.126, 0.0053839
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 55108, 10.0104, 0.00676507
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 65536, 170.593, 0.00662838
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 77935, 210.73, 0.0110163
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 92681, 135.635, 0.0106489
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 110217, 36.6949, 0.0133292
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 131072, 102.951, 0.0130643
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 155871, 342.758, 0.0224527
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 185363, 167.773, 0.024654
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 220435, 194.78, 0.0273658
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 262144, 155.101, 0.0237462
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 311743, 162.756, 0.0438954
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 370727, 71.2571, 0.0458762
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 440871, 168.343, 0.0536267
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 524288, 159.571, 0.0528153
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 623487, 537.712, 0.0916268
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 741455, 428.475, 0.0949341
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 881743, 315.415, 0.112178
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 1048576, 837.071, 0.10688
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 1246974, 987.911, 0.188695
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 1482910, 259.427, 0.196852
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 1763487, 290.813, 0.229256
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 2097152, 753.578, 0.22324
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 2493948, 963.293, 0.410257
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 2965820, 564.661, 0.396033
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 3526975, 1529.42, 0.459832
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 4194304, 2519.66, 0.446403
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 4987896, 1408.64, 0.799967
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 5931641, 843.853, 0.83576
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 7053950, 1603.93, 0.954177
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 8388608, 1248.03, 0.97222
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 9975792, 2024.09, 1.62592
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 11863283, 2915.84, 1.72913
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 14107900, 2547.17, 1.95051
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 16777216, 2285.4, 1.97388
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 19951584, 3685.35, 3.3395
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 23726566, 2147.63, 3.48251
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 28215801, 1049.74, 4.06898
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 33554432, 4658.76, 3.93295
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 39903169, 2354.08, 6.90874
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 47453132, 2156.24, 7.23391
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 56431603, 2018.97, 8.39093
hpce.hgp10.fast_fourier_transform_taskgroup, 8, 8, 67108864, 10121.9, 8.10136
