# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 16, 4.9362, 1.28508e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 19, 1.60788, 9.05398e-006
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 22, 2.40711, 6.4254e-006
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 26, 1.26226, 7.88572e-006
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 32, 2.81322, 7.30159e-006
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 38, 6.15568, 1.72318e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 45, 2.95318, 1.25587e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 53, 4.7473, 1.54794e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 64, 14.1985, 1.54794e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 76, 1.65633, 2.51175e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 90, 7.4357, 2.62857e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 107, 3.58678, 3.12508e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 128, 5.53084, 3.18349e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 152, 7.99258, 5.31556e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 181, 8.10526, 5.16953e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 215, 5.97507, 6.51302e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 256, 4.86155, 6.65905e-005
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 304, 22.3973, 0.00010894
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 362, 4.18397, 0.000107187
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 430, 14.4137, 0.000135226
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 512, 10.1029, 0.000138146
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 608, 18.3152, 0.000224305
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 724, 7.20496, 0.000226349
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 861, 9.97479, 0.0002944
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 1024, 19.7117, 0.000294692
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 1217, 40.097, 0.0004784
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 1448, 22.5895, 0.000480737
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 1722, 16.3501, 0.000609245
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 2048, 14.2226, 0.000612166
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 2435, 34.4931, 0.000986007
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 2896, 39.5912, 0.000992433
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 3444, 25.428, 0.00122053
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 4096, 27.2928, 0.00123485
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 4870, 26.5156, 0.00243873
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 5792, 47.4219, 0.00204036
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 6888, 25.4685, 0.00251116
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 8192, 74.8637, 0.00254884
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 9741, 55.1308, 0.00418323
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 11585, 17.8966, 0.00426296
hpce.hgp10.fast_fourier_transform_taskgroup, 1, 8, 13777, 84.3912, 0.00524313
