# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 16, 4.9362, 0.00028593
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 19, 1.60788, 1.19746e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 22, 2.40711, 4.67302e-006
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 26, 1.26226, 7.30159e-006
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 32, 2.81322, 4.96508e-006
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 38, 6.15568, 6.71746e-006
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 45, 2.95318, 7.30159e-006
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 53, 4.7473, 1.51873e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 64, 14.1985, 7.00953e-006
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 76, 1.65633, 1.10984e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 90, 7.4357, 1.22667e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 107, 3.58678, 1.78159e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 128, 5.53084, 1.31429e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 152, 7.99258, 2.2781e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 181, 8.10526, 2.62857e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 215, 5.97507, 3.18349e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 256, 4.86155, 2.57016e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 304, 22.3973, 4.55619e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 362, 4.18397, 4.87746e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 430, 14.4137, 6.22095e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 512, 10.1029, 5.14032e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 608, 18.3152, 8.84953e-005
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 724, 7.20496, 0.00010894
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 861, 9.97479, 0.00013873
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 1024, 19.7117, 0.00011186
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 1217, 40.097, 0.000236279
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 1448, 22.5895, 0.000244457
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 1722, 16.3501, 0.000309879
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 2048, 14.2226, 0.000276876
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 2435, 32.7976, 0.000496508
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 2896, 36.4473, 0.000471391
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 3444, 26.4221, 0.00058588
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 4096, 27.2928, 0.00045007
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 4870, 16.4006, 0.000782146
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 5792, 39.2006, 0.000898096
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 6888, 13.3494, 0.00117672
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 8192, 74.8637, 0.000915035
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 9741, 44.2077, 0.00204737
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 11585, 12.227, 0.00221998
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 13777, 70.0519, 0.00231373
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 16384, 77.7499, 0.00192382
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 19483, 104.127, 0.00326556
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 23170, 100.39, 0.00378748
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 27554, 121.87, 0.0050305
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 32768, 146.986, 0.00403165
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 38967, 68.7784, 0.00708459
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 46340, 122.928, 0.0081953
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 55108, 45.5843, 0.0101556
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 65536, 170.593, 0.00859806
hpce.hgp10.fast_fourier_transform_opt, 2, 8, 77935, 169.013, 0.0158737
