# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 3, 8, 16, 4.9362, 6.13334e-006
hpce.fast_fourier_transform, 3, 8, 19, 1.60788, 2.92064e-006
hpce.fast_fourier_transform, 3, 8, 22, 2.40711, 2.33651e-006
hpce.fast_fourier_transform, 3, 8, 26, 1.26226, 2.62857e-006
hpce.fast_fourier_transform, 3, 8, 32, 2.81322, 2.33651e-006
hpce.fast_fourier_transform, 3, 8, 38, 6.15568, 4.08889e-006
hpce.fast_fourier_transform, 3, 8, 45, 2.95318, 4.08889e-006
hpce.fast_fourier_transform, 3, 8, 53, 4.7473, 4.67302e-006
hpce.fast_fourier_transform, 3, 8, 64, 14.1985, 4.67302e-006
hpce.fast_fourier_transform, 3, 8, 76, 1.65633, 1.02222e-005
hpce.fast_fourier_transform, 3, 8, 90, 7.4357, 9.05398e-006
hpce.fast_fourier_transform, 3, 8, 107, 3.58678, 9.34604e-006
hpce.fast_fourier_transform, 3, 8, 128, 5.53084, 9.6381e-006
hpce.fast_fourier_transform, 3, 8, 152, 7.99258, 2.16127e-005
hpce.fast_fourier_transform, 3, 8, 181, 8.10526, 1.72318e-005
hpce.fast_fourier_transform, 3, 8, 215, 5.97507, 1.95683e-005
hpce.fast_fourier_transform, 3, 8, 256, 4.86155, 2.16127e-005
hpce.fast_fourier_transform, 3, 8, 304, 22.3973, 4.41016e-005
hpce.fast_fourier_transform, 3, 8, 362, 4.18397, 3.73842e-005
hpce.fast_fourier_transform, 3, 8, 430, 14.4137, 4.43937e-005
hpce.fast_fourier_transform, 3, 8, 512, 10.1029, 4.49778e-005
hpce.fast_fourier_transform, 3, 8, 608, 18.3152, 9.20001e-005
hpce.fast_fourier_transform, 3, 8, 724, 7.20496, 8.29461e-005
hpce.fast_fourier_transform, 3, 8, 861, 9.97479, 0.000108648
hpce.fast_fourier_transform, 3, 8, 1024, 19.7117, 0.000115073
hpce.fast_fourier_transform, 3, 8, 1217, 40.097, 0.000201232
hpce.fast_fourier_transform, 3, 8, 1448, 22.5895, 0.000193346
hpce.fast_fourier_transform, 3, 8, 1722, 16.3501, 0.000238908
hpce.fast_fourier_transform, 3, 8, 2048, 14.2226, 0.000240661
hpce.fast_fourier_transform, 3, 8, 2435, 34.4931, 0.000403632
hpce.fast_fourier_transform, 3, 8, 2896, 39.5912, 0.000398375
hpce.fast_fourier_transform, 3, 8, 3444, 25.428, 0.000456496
hpce.fast_fourier_transform, 3, 8, 4096, 27.2928, 0.000473727
hpce.fast_fourier_transform, 3, 8, 4870, 26.5156, 0.000853118
hpce.fast_fourier_transform, 3, 8, 5792, 47.4219, 0.00085195
hpce.fast_fourier_transform, 3, 8, 6888, 25.4685, 0.000954756
hpce.fast_fourier_transform, 3, 8, 8192, 74.8637, 0.000978122
hpce.fast_fourier_transform, 3, 8, 9741, 55.1308, 0.00172434
hpce.fast_fourier_transform, 3, 8, 11585, 17.8966, 0.00178801
hpce.fast_fourier_transform, 3, 8, 13777, 84.3912, 0.0020167
hpce.fast_fourier_transform, 3, 8, 16384, 77.7499, 0.00210023
hpce.fast_fourier_transform, 3, 8, 19483, 148.231, 0.00363006
hpce.fast_fourier_transform, 3, 8, 23170, 152.583, 0.00393585
hpce.fast_fourier_transform, 3, 8, 27554, 136.307, 0.00433861
hpce.fast_fourier_transform, 3, 8, 32768, 146.986, 0.00447412
hpce.fast_fourier_transform, 3, 8, 38967, 43.113, 0.00811061
hpce.fast_fourier_transform, 3, 8, 46340, 100.126, 0.00838982
hpce.fast_fourier_transform, 3, 8, 55108, 10.0104, 0.00930749
hpce.fast_fourier_transform, 3, 8, 65536, 170.593, 0.00984547
hpce.fast_fourier_transform, 3, 8, 77935, 210.73, 0.0174607
hpce.fast_fourier_transform, 3, 8, 92681, 135.635, 0.0181339
hpce.fast_fourier_transform, 3, 8, 110217, 36.6949, 0.0202978
hpce.fast_fourier_transform, 3, 8, 131072, 102.951, 0.0207979
hpce.fast_fourier_transform, 3, 8, 155871, 342.758, 0.038369
hpce.fast_fourier_transform, 3, 8, 185363, 167.773, 0.0801995
hpce.fast_fourier_transform, 3, 8, 220435, 194.78, 0.0663116
hpce.fast_fourier_transform, 3, 8, 262144, 155.101, 0.0479177
hpce.fast_fourier_transform, 3, 8, 311743, 162.756, 0.0902781
hpce.fast_fourier_transform, 3, 8, 370727, 71.2571, 0.0955148
hpce.fast_fourier_transform, 3, 8, 440871, 168.343, 0.107312
hpce.fast_fourier_transform, 3, 8, 524288, 159.571, 0.113525
hpce.fast_fourier_transform, 3, 8, 623487, 537.712, 0.193542
hpce.fast_fourier_transform, 3, 8, 741455, 428.475, 0.205814
hpce.fast_fourier_transform, 3, 8, 881743, 315.415, 0.227677
hpce.fast_fourier_transform, 3, 8, 1048576, 837.071, 0.244036
hpce.fast_fourier_transform, 3, 8, 1246974, 987.911, 0.403773
hpce.fast_fourier_transform, 3, 8, 1482910, 259.427, 0.427598
hpce.fast_fourier_transform, 3, 8, 1763487, 290.813, 0.475709
hpce.fast_fourier_transform, 3, 8, 2097152, 753.578, 0.510979
hpce.fast_fourier_transform, 3, 8, 2493948, 963.293, 0.841182
hpce.fast_fourier_transform, 3, 8, 2965820, 564.661, 0.891944
hpce.fast_fourier_transform, 3, 8, 3526975, 1529.42, 0.98549
hpce.fast_fourier_transform, 3, 8, 4194304, 2519.66, 1.05596
hpce.fast_fourier_transform, 3, 8, 4987896, 1408.64, 1.79355
hpce.fast_fourier_transform, 3, 8, 5931641, 843.853, 1.87673
hpce.fast_fourier_transform, 3, 8, 7053950, 1603.93, 2.07536
hpce.fast_fourier_transform, 3, 8, 8388608, 1248.03, 2.25578
hpce.fast_fourier_transform, 3, 8, 9975792, 2024.09, 3.82296
hpce.fast_fourier_transform, 3, 8, 11863283, 2915.84, 3.89736
hpce.fast_fourier_transform, 3, 8, 14107900, 2547.17, 4.29975
hpce.fast_fourier_transform, 3, 8, 16777216, 2285.4, 4.74098
hpce.fast_fourier_transform, 3, 8, 19951584, 3685.35, 7.64434
hpce.fast_fourier_transform, 3, 8, 23726566, 2147.63, 8.0666
hpce.fast_fourier_transform, 3, 8, 28215801, 1049.74, 8.89165
hpce.fast_fourier_transform, 3, 8, 33554432, 4658.76, 9.63606
hpce.fast_fourier_transform, 3, 8, 39903169, 2354.08, 15.9053
