# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 16, 4.9362, 0.000491251
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 19, 1.60788, 1.43111e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 22, 1.26258, 1.10984e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 26, 1.50946, 1.19746e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 32, 2.81322, 1.19746e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 38, 6.35188, 2.13206e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 45, 1.44911, 1.69397e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 53, 2.82396, 1.98603e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 64, 14.1985, 2.59937e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 76, 2.76634, 2.92064e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 90, 5.12565, 3.24191e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 107, 3.92396, 3.41714e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 128, 5.53084, 3.50476e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 152, 12.1969, 5.22794e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 181, 8.17628, 5.19873e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 215, 4.90209, 6.30857e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 256, 4.86155, 6.48381e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 304, 22.9792, 0.000100762
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 362, 8.57854, 9.81334e-005
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 430, 5.41048, 0.000121498
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 512, 10.1029, 0.000121206
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 608, 7.11922, 0.000198895
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 724, 6.24536, 0.000215251
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 861, 8.73357, 0.000271035
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 1024, 19.7117, 0.000265778
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 1217, 43.0634, 0.000439264
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 1448, 11.5829, 0.000453867
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 1722, 8.63163, 0.000524838
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 2048, 14.2226, 0.000560178
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 2435, 24.0055, 0.000886705
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 2896, 16.0411, 0.000840851
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 3444, 7.1588, 0.00111539
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 4096, 27.2928, 0.000970819
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 4870, 15.8423, 0.0016855
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 5792, 26.4934, 0.00170828
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 6888, 6.60282, 0.00197085
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 8192, 74.8637, 0.00197085
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 9741, 18.829, 0.00238674
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 11585, 10.946, 0.00236572
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 13777, 18.2303, 0.00299774
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 16384, 77.7499, 0.00297116
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 19483, 96.585, 0.00475655
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 23170, 87.4254, 0.00473406
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 27554, 18.3728, 0.00612633
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 32768, 146.986, 0.00606266
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 38967, 60.6413, 0.0100178
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 46340, 60.399, 0.010007
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 55108, 18.6936, 0.0127264
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 65536, 170.593, 0.0131943
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 77935, 73.2701, 0.0261487
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 92681, 25.4243, 0.0223481
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 110217, 19.8043, 0.0253228
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 131072, 102.951, 0.0253263
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 155871, 287.35, 0.042384
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 185363, 107.443, 0.0446451
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 220435, 158.303, 0.0555505
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 262144, 155.101, 0.0528071
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 311743, 172.985, 0.0995946
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 370727, 153.002, 0.0933029
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 440871, 85.3106, 0.112848
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 524288, 159.571, 0.117003
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 623487, 571.641, 0.190795
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 741455, 243.314, 0.19247
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 881743, 224.441, 0.237692
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 1048576, 837.071, 0.24006
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 1246974, 911.784, 0.404434
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 1482910, 286.003, 0.411361
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 1763487, 98.877, 0.483815
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 2097152, 753.578, 0.501885
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 2493948, 475.513, 0.786177
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 2965820, 342.61, 0.808686
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 3526975, 370.868, 0.973017
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 4194304, 2519.66, 0.997213
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 4987896, 685.782, 1.60741
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 5931641, 480.106, 1.65185
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 7053950, 992.888, 2.00161
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 8388608, 1248.03, 2.04971
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 9975792, 1189.53, 3.28377
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 11863283, 1801.92, 3.38697
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 14107900, 957.108, 4.03689
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 16777216, 2285.4, 4.1708
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 19951584, 2221.62, 6.70382
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 23726566, 52.2867, 6.82788
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 28215801, 454.643, 8.20711
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 33554432, 4658.76, 8.61676
hpce.hgp10.fast_fourier_transform_combined, 3, 8, 39903169, 841.607, 13.7891
