# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 16, 4.9362, 0.000615378
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 19, 1.90936, 5.69524e-005
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 22, 3.30978, 4.5854e-005
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 26, 2.05117, 5.60762e-005
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 32, 2.81322, 8.32381e-005
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 38, 7.30988, 7.3308e-005
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 45, 4.15291, 6.25016e-005
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 53, 7.86272, 8.14857e-005
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 64, 14.1985, 0.000116241
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 76, 1.9669, 0.000184
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 90, 10.4565, 0.000363035
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 107, 5.99665, 0.000333829
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 128, 5.53084, 0.000430502
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 152, 9.49119, 0.000599314
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 181, 11.4613, 0.000802007
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 215, 10.0363, 0.0011189
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 256, 4.86155, 0.00156984
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 304, 26.5967, 0.00223107
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 362, 5.9164, 0.00326147
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 430, 24.2105, 0.00469843
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 512, 10.1029, 0.00611494
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 608, 21.7493, 0.00852767
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 724, 10.1883, 0.0125181
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 861, 16.774, 0.0173024
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 1024, 19.7117, 0.0244764
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 1217, 47.6543, 0.0369647
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 1448, 31.9429, 0.0513781
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 1722, 27.495, 0.0691884
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 2048, 14.2226, 0.0954367
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 2435, 41.0111, 0.136888
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 2896, 55.9844, 0.195187
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 3444, 42.7607, 0.27636
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 4096, 27.2928, 0.395228
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 4870, 31.5261, 0.557498
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 5792, 67.0575, 0.802597
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 6888, 42.8288, 1.12403
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 8192, 74.8637, 1.5921
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 9741, 65.5553, 2.25549
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 11585, 25.3091, 3.19053
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 13777, 141.926, 4.55377
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 16384, 77.7499, 6.51249
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 19483, 176.268, 9.08903
hpce.hgp10.direct_fourier_transform_parfor, 6, 8, 23170, 215.78, 12.884
