# name, allowedP, trueP, n, [sentinel], time
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 16, 4.9362, 2.57016e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 19, 1.60788, 9.6381e-006
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 22, 1.26258, 7.88572e-006
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 26, 1.50946, 8.46984e-006
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 32, 2.81322, 6.4254e-006
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 38, 6.35188, 1.57714e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 45, 1.44911, 1.22667e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 53, 2.82396, 1.72318e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 64, 14.1985, 1.46032e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 76, 2.76634, 2.68698e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 90, 5.12565, 2.57016e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 107, 3.92396, 3.24191e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 128, 5.53084, 3.03746e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 152, 12.1969, 5.4908e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 181, 8.17628, 5.08191e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 215, 4.90209, 5.89968e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 256, 4.86155, 6.13334e-005
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 304, 22.9792, 0.000111568
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 362, 8.57854, 0.00010047
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 430, 5.41048, 0.000127924
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 512, 10.1029, 0.000124419
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 608, 7.11922, 0.000224013
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 724, 6.24536, 0.000206781
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 861, 8.73357, 0.000297321
hpce.hgp10.fast_fourier_transform_parfor, 6, 8, 1024, 19.7117, 0.000293816
