# name, allowedP, trueP, n, [sentinel], time
hpce.direct_fourier_transform, 7, 8, 16, 4.9362, 3.44635e-005
hpce.direct_fourier_transform, 7, 8, 19, 1.90936, 4.05968e-005
hpce.direct_fourier_transform, 7, 8, 22, 3.30978, 5.31556e-005
hpce.direct_fourier_transform, 7, 8, 26, 2.05117, 7.38921e-005
hpce.direct_fourier_transform, 7, 8, 32, 2.81322, 0.000110984
hpce.direct_fourier_transform, 7, 8, 38, 7.30988, 0.000158006
hpce.direct_fourier_transform, 7, 8, 45, 4.15291, 0.0002208
hpce.direct_fourier_transform, 7, 8, 53, 7.86272, 0.000309879
hpce.direct_fourier_transform, 7, 8, 64, 14.1985, 0.000446565
hpce.direct_fourier_transform, 7, 8, 76, 1.9669, 0.000640203
hpce.direct_fourier_transform, 7, 8, 90, 10.4565, 0.000891086
hpce.direct_fourier_transform, 7, 8, 107, 5.99665, 0.00128128
hpce.direct_fourier_transform, 7, 8, 128, 5.53084, 0.00178801
hpce.direct_fourier_transform, 7, 8, 152, 9.49119, 0.00252927
hpce.direct_fourier_transform, 7, 8, 181, 11.4613, 0.00360406
hpce.direct_fourier_transform, 7, 8, 215, 10.0363, 0.0051117
hpce.direct_fourier_transform, 7, 8, 256, 4.86155, 0.00714913
hpce.direct_fourier_transform, 7, 8, 304, 26.5967, 0.0100966
hpce.direct_fourier_transform, 7, 8, 362, 5.9164, 0.01438
hpce.direct_fourier_transform, 7, 8, 430, 24.2105, 0.0203378
hpce.direct_fourier_transform, 7, 8, 512, 10.1029, 0.028846
hpce.direct_fourier_transform, 7, 8, 608, 21.7493, 0.0406932
hpce.direct_fourier_transform, 7, 8, 724, 10.1883, 0.0577474
hpce.direct_fourier_transform, 7, 8, 861, 16.774, 0.0817682
hpce.direct_fourier_transform, 7, 8, 1024, 19.7117, 0.116036
hpce.direct_fourier_transform, 7, 8, 1217, 47.6543, 0.164924
hpce.direct_fourier_transform, 7, 8, 1448, 31.9429, 0.232466
hpce.direct_fourier_transform, 7, 8, 1722, 27.495, 0.329976
hpce.direct_fourier_transform, 7, 8, 2048, 14.2226, 0.467398
hpce.direct_fourier_transform, 7, 8, 2435, 41.0111, 0.663473
hpce.direct_fourier_transform, 7, 8, 2896, 55.9844, 0.940288
hpce.direct_fourier_transform, 7, 8, 3444, 42.7607, 1.33158
hpce.direct_fourier_transform, 7, 8, 4096, 27.2928, 1.89512
hpce.direct_fourier_transform, 7, 8, 4870, 31.5261, 2.68549
hpce.direct_fourier_transform, 7, 8, 5792, 67.0575, 3.79992
hpce.direct_fourier_transform, 7, 8, 6888, 42.8288, 5.39399
hpce.direct_fourier_transform, 7, 8, 8192, 74.8637, 7.65977
hpce.direct_fourier_transform, 7, 8, 9741, 65.5553, 10.8869
